file,status,match,tokens,multi,elapsed_s
C1203,ok,1,9425,3714,15.1
C1204,ok,1,9703,3765,15.3
C1205,ok,1,9402,3589,14.5
C1206,ok,0,9391,3715,15.2
C1207,ok,1,9517,3752,15.2
C1208,ok,1,9696,3766,15.3
C1209,ok,1,9572,3760,15.1
C120A,ok,1,9474,3735,15.1
C120B,ok,1,9353,3700,14.8
C120C,ok,1,10207,3897,15.7
C120D,ok,1,9321,3485,14.0
C1301,ok,1,9954,3958,15.9
C1401,ok,1,11996,4041,16.9
C1402,ok,1,12265,4098,17.1
C1501,ok,1,12788,4071,16.3
C1601,ok,0,7687,3105,12.8
C1602,ok,0,7854,3165,12.9
C1603,ok,0,7930,3179,13.4
C160B,ok,0,7848,3148,13.0
C160C,ok,0,7853,3139,12.8
C1701,ok,0,6262,1409,7.7
C1702,ok,0,15293,2834,14.0
C1703,ok,1,12174,1298,9.8
C1704,ok,0,22742,3593,18.3
C1705,ok,1,20885,1920,15.4
C1706,ok,1,18178,3100,15.6
C1707,ok,0,18325,3188,15.7
C1708,ok,1,4809,692,4.2
C1709,ok,1,18739,4492,18.4
C170A,ok,1,12178,2825,12.9
C1801,ok,0,9493,3790,15.2
C1901,ok,0,14046,5157,19.4
C1A01,ok,0,9923,4084,16.1
C1B01,ok,1,1317,402,2.2
C1C01,ok,1,24185,5202,21.3
C1D01,ok,1,11147,4083,16.3
C1D02,ok,1,11212,4085,16.7
C1D03,ok,1,11527,4143,16.8
C1D04,ok,1,11386,4139,16.8
C1E01,ok,1,12446,4145,16.8
C1E02,ok,1,11260,3710,15.5
C1E03,ok,1,11013,3862,15.3
C1E04,ok,1,12057,3847,15.9
C1E05,ok,1,10348,3668,15.0
C1E06,ok,1,10878,3770,15.2
C1E07,ok,1,11169,3652,15.4
C1E08,ok,1,11816,3804,15.8
C1E09,ok,1,11019,3667,15.4
C1E0A,ok,1,11084,3833,15.6
C1E0B,ok,1,12424,4128,16.7
C1E0C,ok,1,12140,4109,16.5
C1E0D,ok,1,12135,4109,16.6
C1E0E,ok,1,12410,4137,17.1
C1E0F,ok,1,12403,4122,16.7
C1E10,ok,1,11226,3705,15.4
C1E11,ok,1,12971,4191,17.0
C1E12,ok,1,11671,3843,16.1
C1E13,ok,1,11394,3993,16.1
C1E14,ok,1,12426,3963,16.5
C1E15,ok,1,10757,3804,15.3
C1E16,ok,1,11247,3886,15.6
C1E17,ok,1,11580,3785,15.9
C1E18,ok,1,12185,3920,16.3
C1E19,ok,1,11430,3800,15.9
C1E1A,ok,1,11465,3964,16.0
C1E1B,ok,1,12949,4174,17.1
C1E1C,ok,1,12665,4155,17.3
C1E1D,ok,1,12660,4155,16.9
C1E1E,ok,1,12935,4183,17.3
C1E1F,ok,1,12928,4168,17.3
C1E20,ok,1,11637,3838,16.1
C1E21,ok,1,12389,4126,16.6
C1E22,ok,1,12375,4135,17.0
C1F01,ok,1,2866,1054,5.9
C1F02,ok,1,2860,1053,5.9
C1F03,ok,1,2913,1072,6.3
C1F04,ok,1,2146,774,4.3
C1F05,ok,1,2140,774,4.4
C1F06,ok,1,2187,804,4.8
CBAK,ok,1,159718,10187,81.0
CBAK_00,ok,1,7706,647,5.8
CBAK_01,ok,1,7770,733,6.1
CBAK_02,ok,1,7764,996,6.5
CBAK_03,ok,1,9821,1990,10.2
CBAK_04,ok,1,42149,2656,24.3
CBAK_05,ok,1,35872,2610,22.8
CBAK_06,ok,1,45724,3642,25.7
CBAK_07,ok,1,13675,1123,8.1
CLNO_00,ok,1,1236,407,2.5
CLNO_01,ok,1,1104,204,1.3
CLNO_02,ok,1,1247,300,2.1
CLNO_03,ok,1,1458,426,2.9
CLNO_04,ok,1,1185,319,2.0
CLNO_05,ok,1,1365,316,2.3
CLNO_06,ok,1,1310,379,2.5
CLNO_07,ok,1,1152,255,1.6
CLNO_08,ok,1,1416,436,3.2
CLNO_09,ok,1,1306,364,2.4
CMON_03,ok,1,4781,673,4.5
CMON_04,ok,1,4696,656,4.2
CMON_05,ok,1,4740,627,4.2
CSNO_00,ok,1,901,378,2.1
CSNO_01,ok,1,827,174,1.0
CSNO_02,ok,1,885,246,1.5
CSNO_03,ok,1,992,348,2.2
CSNO_04,ok,1,860,287,1.6
CSNO_05,ok,1,975,268,1.6
CSNO_06,ok,1,900,283,1.8
CSNO_07,ok,1,876,205,1.2
CSNO_08,ok,1,965,321,1.9
CSNO_09,ok,1,905,265,1.7
CWEEK_00,ok,1,526,152,0.8
CWEEK_01,ok,1,547,131,0.8
CWEEK_02,ok,1,546,111,0.7
CWEEK_03,ok,1,605,155,0.8
CWEEK_04,ok,1,527,120,0.7
CWEEK_05,ok,1,429,117,0.7
CWEEK_06,ok,1,557,102,0.7
H10,ok,0,79248,12689,63.7
H11,ok,1,107790,13945,80.0
H12,ok,1,63903,12528,63.7
H13,ok,1,67137,13181,65.4
H14,ok,0,69136,13595,66.0
H15,ok,0,80976,12942,69.0
H16,ok,1,73095,14992,74.0
H17,ok,0,60097,12487,62.2
H20,ok,1,79900,13652,70.2
H21,ok,0,88248,14920,79.0
H22,ok,1,76336,13768,69.2
H23,ok,1,88939,15030,77.4
H24,ok,0,77483,14031,72.5
H30,ok,1,85084,14094,75.7
H31,ok,1,93468,15720,81.8
H32,ok,1,101861,12725,74.2
H33,ok,0,78545,14865,75.8
H34,ok,0,79738,15691,78.5
H40,ok,1,71099,11590,63.0
H41,ok,0,78505,15858,78.4
H42,ok,1,70981,13323,67.3
H43,ok,1,82603,15008,76.4
H44,ok,0,87347,14630,78.9
H50,ok,1,62158,13597,60.8
H51,ok,1,90423,14775,78.5
H52,ok,0,76149,12879,64.1
H53,ok,1,79138,13757,71.3
H54,ok,1,86337,15719,81.8
H55,ok,1,78418,13713,70.1
H60,ok,1,81483,12518,67.6
H61,ok,0,73839,13306,67.2
H62,ok,1,81048,13756,68.9
H63,ok,1,77658,12848,66.3
H64,ok,1,79161,15706,77.0
H70,ok,0,77510,14459,74.5
H71,ok,0,66950,13485,63.9
